Shrt_Desc	Calories
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR"	10
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR"	20
"BABYFOOD,PRUNES,WO/VIT C,STR"	15
"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA"	11
"BABYFOOD,PEARS,DICES,TODD"	16
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR"	7
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR"	8
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR"	14
"BABYFOOD,FRUIT,APPLSAUC & CHERRIES,JR"	14
"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR"	11
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR"	10
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR"	11
"BABYFOOD,FRUIT,APPL & RASPBERRY,STR"	16
"BABYFOOD,FRUIT,APPL & RASPBERRY,JR"	16
"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO"	72
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR"	10
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR"	10
"BABYFOOD,FRUIT,PEARS&PNAPPL,STR"	7
"BABYFOOD,FRUIT,PEARS&PNAPPL,JR"	7
"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR"	18
"BABYFOOD,PEACHES,DICES,TODD"	14
"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR"	20
"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR"	12
"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR"	17
"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR"	18
"BABYFOOD,JUICE,APPLE"	15
"BABYFOOD,APPLE-BANANA JUC"	16
"BABYFOOD,JUC,APPL&PEACH"	13
"BABYFOOD,APPLE-CRANBERRY JUC"	14
"BABYFOOD,JUC,APPL&PLUM"	15
"BABYFOOD,JUC,APPL&PRUNE"	22
"BABYFOOD,JUICE,ORANGE"	14
"BABYFOOD,JUC,ORANGE&APPL"	13
"BABYFOOD,JUC,ORANGE&APPL&BANANA"	15
"BABYFOOD,JUC,ORANGE&APRICOT"	14
"BABYFOOD,JUC,ORANGE&BANANA"	16
"BABYFOOD,JUC,ORANGE&PNAPPL"	15
"BABYFOOD,JUC,PRUNE&ORANGE"	22
"BABYFOOD,JUC,MXD FRUIT"	15
"BABYFOOD,CRL,BARLEY,DRY"	9
"BABYFOOD,CRL,WHL WHEAT,W/APPLS,DRY"	60
"BABYFOOD,CEREAL,MIXED,DRY"	9
"BABYFOOD,CRL,MXD,W/BANANAS,DRY"	10
"BABYFOOD,CRL,MXD,W/APPLSAUC&BANANAS,STR"	23
"BABYFOOD,CRL,MXD,W/ APPLSAUC & BANANAS,JR"	24
"BABYFOOD,CRL,OATMEAL,DRY"	13
"BABYFOOD,CRL,OATMEAL,W/BANANAS,DRY"	10
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,STR"	21
"BABYFOOD,CRL,OATMEAL,W/APPLSAUC&BANANAS,JR"	21
"BABYFOOD,CRL,OATMEAL,W/HONEY,DRY"	9
"BABYFOOD,CEREAL,RICE,DRY"	10
"BABYFOOD,CRL,RICE,W/APPLSAUC&BANANAS,STR"	13
"BABYFOOD,CRL,W/EGG YOLKS,STR"	14
"BABYFOOD,CRL,W/EGG YOLKS,JR"	15
"BABYFOOD,CRL,W/EGGS,STR"	16
"BABYFOOD,CRL,EGG YOLKS&BACON,JR"	22
"BABYFOOD,OATMEAL CRL W/FRUIT,DRY,INST,TODD"	21
"BABYFOOD,COOKIE,BABY,FRUIT"	35
"BABYFOOD,CRACKERS,VEG"	3
"BABYFOOD,CRL,RICE,W/MXD FRUIT,JR"	12
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,DRY"	9
"BABYFOOD,CRL,RICE,W/BANANAS,DRY"	10
"BABYFOOD,COOKIES"	123
"BABYFOOD,COOKIES,ARROWROOT"	125
"BABYFOOD,PRETZELS"	113
"BABYFOOD,TEETHING BISCUITS"	111
ZWIEBACK	121
"BABYFOOD,DSSRT,DUTCH APPL,STR"	21
"BABYFOOD,DSSRT,DUTCH APPL,JR"	22
"BABYFOOD,CHERRY COBBLER,JR"	22
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,STR"	19
"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR"	20
"BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR"	23
"BABYFOOD,DSSRT,PEACH COBBLER,STR"	10
"BABYFOOD,DSSRT,PEACH COBBLER,JR"	10
"BABYFOOD,DSSRT,PEACH MELBA,STR"	17
"BABYFOOD,DSSRT,PEACH MELBA,JR"	17
"BABYFOOD,DSSRT,FRUIT PUDD,PNAPPL,STR"	12
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,STR"	9
"BABYFOOD,DSSRT,FRUIT DSSRT,WO/VIT C,JR"	9
"BABYFOOD,DSSRT,TROPICAL FRUIT,JR"	17
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,STR"	195
"BABYFOOD,DSSRT,CUSTARD PUDD,VANILLA,JR"	197
"BABYFOOD,JUC,APPL&GRAPE"	14
"BABYFOOD,JUC,FRUIT PUNCH,W/CA"	16
"BABYFOOD,JUC,APPL&CHERRY"	13
"BABYFOOD,JUC,APPL,W/CA"	87
"BABYFOOD,DINNER,VEG&CHICK,JR"	136
"BABYFOOD,DINNER,MXD VEG,STR"	12
"BABYFOOD,DINNER,MXD VEG,JR"	9
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,JR"	10
"BABYFOOD,VEG,MIX VEG JR"	86
"BABYFOOD,VEG,GARDEN VEG,STR"	9
"BABYFOOD,VEG,MIX VEG STR"	10
"BABYFOOD,DINNER,BF NOODLE,JR"	9
"BABYFOOD,APPLS W/HAM,STR"	9
"BABYFOOD,CARROTS&BF,STR"	9
"BABYFOOD,PLUMS,BANANAS&RICE,STR"	16
"BABYFOOD,DINNER,TURKEY,RICE,AND VEG,TODD"	17
"BABYFOOD,DINNER,APPLS&CHICK,STR"	18
"BABYFOOD,DINNER,BROCCOLI & CHICK,JR"	18
"Babyfood, beverage, GERBER GRADUATE FRUIT SPLASHERS"	35
"BABYFOOD,SNACK,GERBER GRADUATE YOGURT MELTS"	30
"BABYFOOD,DINNER,SWT POTATOES&CHICK,STR"	12
"BABYFOOD,DINNER,POTATOES W/CHS&HAM,TODD"	22
"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK"	24
"BABYFOOD,CRL,HI PROT,PREP W/WHL MILK"	31
"BABYFOOD,CRL,MXD,PREP W/WHL MILK"	27
"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK"	24
"BABYFOOD,CRL,OATMEAL,PREP W/WHL MILK"	33
"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK"	24
"BABYFOOD,CRL,OATMEAL,W/HONEY,PREP W/WHL MILK"	33
"BABYFOOD,CRL,RICE,PREP W/WHL MILK"	24
"BABYFOOD,CRL,RICE,W/HONEY,PREP W/WHL MILK"	33
"BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK"	33
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,PREP W/WHL MILK"	32
